iter	Passed	Remaining
0	2	2203
1	3	1800
2	5	1685
3	6	1701
4	8	1669
5	10	1664
6	12	1728
7	13	1714
8	15	1688
9	16	1660
10	18	1629
11	19	1612
12	21	1604
13	22	1595
14	24	1596
15	26	1603
16	28	1657
17	30	1653
18	31	1647
19	33	1640
20	34	1626
21	36	1619
22	38	1614
23	39	1609
24	41	1622
25	43	1614
26	44	1605
27	46	1599
28	47	1595
29	49	1612
30	51	1613
31	53	1612
32	54	1606
33	56	1611
34	58	1609
35	59	1604
36	61	1591
37	62	1586
38	64	1589
39	66	1602
40	68	1596
41	69	1585
42	71	1589
43	72	1579
44	73	1568
45	75	1560
46	76	1552
47	78	1553
48	79	1548
49	81	1539
50	82	1529
51	83	1520
52	84	1516
53	86	1519
54	88	1519
55	89	1513
56	91	1507
57	92	1503
58	93	1499
59	95	1494
60	96	1493
61	98	1487
62	99	1485
63	101	1487
64	103	1481
65	104	1478
66	106	1482
67	108	1484
68	109	1481
69	111	1477
70	112	1475
71	114	1473
72	116	1478
73	118	1477
74	119	1474
75	120	1470
76	122	1465
77	123	1461
78	125	1461
79	127	1461
80	128	1459
81	130	1459
82	131	1451
83	133	1450
84	134	1447
85	136	1448
86	138	1449
87	140	1451
88	141	1449
89	143	1447
90	144	1446
91	147	1454
92	149	1453
93	150	1451
94	152	1449
95	153	1445
96	155	1443
97	156	1441
98	158	1439
99	159	1436
100	160	1432
101	162	1431
102	164	1428
103	165	1427
104	167	1425
105	169	1427
106	171	1427
107	172	1425
108	173	1421
109	175	1418
110	177	1420
111	179	1421
112	180	1417
113	181	1413
114	183	1410
115	184	1406
116	185	1403
117	187	1403
118	189	1401
119	190	1397
120	192	1398
121	194	1400
122	196	1397
123	197	1394
124	198	1391
125	200	1387
126	201	1383
127	203	1383
128	204	1382
129	206	1380
130	207	1377
131	209	1376
132	210	1372
133	211	1368
134	213	1365
135	214	1363
136	216	1362
137	218	1361
138	219	1360
139	221	1359
140	223	1359
141	224	1356
142	225	1353
143	226	1349
144	228	1346
145	229	1345
146	231	1342
147	232	1340
148	234	1338
149	235	1336
150	237	1335
151	239	1335
152	241	1334
153	242	1333
154	244	1331
155	246	1333
156	248	1331
157	249	1330
158	251	1329
159	253	1331
160	254	1327
161	256	1325
162	257	1322
163	259	1322
164	261	1324
165	263	1324
166	265	1323
167	267	1322
168	268	1322
169	270	1320
170	271	1318
171	273	1316
172	275	1315
173	277	1315
174	279	1317
175	281	1315
176	282	1313
177	284	1312
178	286	1312
179	287	1311
180	289	1310
181	291	1308
182	292	1307
183	294	1307
184	296	1305
185	297	1303
186	299	1301
187	300	1299
188	302	1298
189	304	1297
190	307	1300
191	308	1299
192	310	1296
193	311	1294
194	313	1294
195	315	1293
196	316	1291
197	318	1290
198	320	1288
199	321	1286
200	323	1286
201	325	1285
202	327	1285
203	329	1285
204	331	1283
205	332	1282
206	334	1281
207	336	1279
208	338	1279
209	339	1278
210	341	1277
211	343	1277
212	345	1276
213	347	1274
214	348	1273
215	350	1273
216	352	1272
217	354	1270
218	355	1267
219	357	1268
220	359	1267
221	361	1266
222	363	1267
223	365	1267
224	367	1266
225	369	1265
226	371	1264
227	373	1264
228	375	1263
229	377	1262
230	378	1260
231	380	1259
232	382	1259
233	385	1260
234	386	1259
235	389	1260
236	391	1260
237	393	1258
238	394	1257
239	397	1257
240	399	1258
241	401	1258
242	406	1265
243	408	1266
244	411	1267
245	414	1268
246	416	1269
247	419	1271
248	421	1271
249	424	1272
250	426	1272
251	428	1272
252	431	1274
253	435	1278
254	437	1279
255	440	1279
256	442	1279
257	444	1278
258	447	1279
259	451	1283
260	453	1283
261	455	1282
262	457	1282
263	460	1284
264	463	1284
265	465	1284
266	467	1284
267	469	1282
268	471	1281
269	473	1280
270	475	1279
271	478	1280
272	480	1279
273	482	1279
274	485	1279
275	487	1278
276	489	1278
277	491	1276
278	494	1276
279	496	1276
280	498	1275
281	500	1273
282	502	1273
283	504	1272
284	506	1271
285	509	1271
286	511	1270
287	513	1269
288	515	1268
289	517	1266
290	518	1264
291	520	1262
292	523	1262
293	525	1261
294	527	1260
295	528	1258
296	530	1256
297	533	1255
298	534	1254
299	536	1252
300	539	1252
301	541	1251
302	543	1250
303	545	1248
304	547	1247
305	549	1246
306	551	1244
307	553	1243
308	570	1275
309	572	1275
310	574	1273
311	576	1271
312	578	1269
313	580	1268
314	582	1266
315	584	1264
316	587	1265
317	589	1263
318	590	1261
319	592	1259
320	594	1258
321	596	1256
322	598	1255
323	600	1253
324	603	1252
325	605	1251
326	607	1249
327	609	1248
328	611	1247
329	614	1247
330	618	1249
331	620	1247
332	622	1246
333	624	1245
334	626	1243
335	627	1240
336	629	1238
337	631	1237
338	633	1235
339	635	1232
340	637	1231
341	639	1229
342	640	1227
343	642	1225
344	644	1223
345	646	1222
346	648	1220
347	650	1218
348	652	1216
349	653	1214
350	655	1212
351	658	1212
352	660	1210
353	662	1209
354	665	1208
355	668	1209
356	670	1208
357	673	1206
358	675	1205
359	677	1204
360	679	1203
361	682	1202
362	684	1200
363	685	1198
364	688	1197
365	690	1195
366	695	1198
367	698	1199
368	700	1197
369	701	1194
370	703	1192
371	705	1190
372	707	1189
373	710	1188
374	711	1186
375	713	1184
376	715	1181
377	717	1180
378	718	1178
379	720	1175
380	723	1175
381	725	1174
382	727	1171
383	728	1169
384	730	1167
385	732	1165
386	733	1162
387	735	1160
388	739	1161
389	741	1159
390	742	1157
391	745	1156
392	747	1154
393	749	1152
394	750	1150
395	753	1149
396	756	1148
397	757	1146
398	759	1143
399	760	1141
400	762	1139
401	764	1137
402	765	1134
403	768	1133
404	770	1131
405	771	1129
406	773	1127
407	775	1125
408	777	1123
409	778	1120
410	780	1119
411	784	1119
412	786	1118
413	788	1115
414	790	1113
415	791	1111
416	793	1108
417	794	1106
418	796	1104
419	799	1104
420	801	1102
421	803	1100
422	804	1097
423	806	1095
424	808	1093
425	810	1092
426	812	1090
427	814	1088
428	816	1086
429	817	1084
430	819	1081
431	820	1079
432	822	1077
433	824	1075
434	826	1072
435	827	1071
436	829	1069
437	831	1067
438	833	1064
439	834	1062
440	836	1060
441	838	1058
442	839	1056
443	841	1054
444	843	1052
445	845	1050
446	846	1047
447	848	1045
448	850	1043
